GRID_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,FGA,FGM,FG_PCT
League Averages,Above the Break 3,Back Court(BC),Back Court Shot,2,0,0.0
League Averages,Above the Break 3,Center(C),24+ ft.,509,158,0.31
League Averages,Above the Break 3,Left Side Center(LC),24+ ft.,945,331,0.35
League Averages,Above the Break 3,Right Side Center(RC),24+ ft.,860,309,0.359
League Averages,Backcourt,Back Court(BC),Back Court Shot,41,1,0.024
League Averages,In The Paint (Non-RA),Center(C),8-16 ft.,451,188,0.417
League Averages,In The Paint (Non-RA),Center(C),Less Than 8 ft.,982,427,0.435
League Averages,In The Paint (Non-RA),Left Side(L),8-16 ft.,157,72,0.459
League Averages,In The Paint (Non-RA),Right Side(R),8-16 ft.,150,76,0.507
League Averages,Left Corner 3,Left Side(L),24+ ft.,472,205,0.434
League Averages,Mid-Range,Center(C),16-24 ft.,484,178,0.368
League Averages,Mid-Range,Center(C),8-16 ft.,154,70,0.455
League Averages,Mid-Range,Left Side Center(LC),16-24 ft.,639,255,0.399
League Averages,Mid-Range,Left Side(L),16-24 ft.,562,237,0.422
League Averages,Mid-Range,Left Side(L),8-16 ft.,587,236,0.402
League Averages,Mid-Range,Right Side Center(RC),16-24 ft.,655,261,0.398
League Averages,Mid-Range,Right Side(R),16-24 ft.,546,222,0.407
League Averages,Mid-Range,Right Side(R),8-16 ft.,453,175,0.386
League Averages,Restricted Area,Center(C),Less Than 8 ft.,4048,2369,0.585
League Averages,Right Corner 3,Right Side(R),24+ ft.,442,161,0.364
