GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,assisted,HTM,VTM
Shot Chart Detail,22100251,677,1630688,Ish Wainright,1610612756,Phoenix Suns,4,2,56,Missed Shot,Step Back Jump shot,,Right Corner 3,Right Side(R),24+ ft.,23,230,42,1,0,20211121,0,PHX,DEN
Shot Chart Detail,22100251,688,1630688,Ish Wainright,1610612756,Phoenix Suns,4,1,58,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,25,4,1,1,20211121,1,PHX,DEN
Shot Chart Detail,22100251,707,1630688,Ish Wainright,1610612756,Phoenix Suns,4,0,27,Missed Shot,Running Pull-Up Jump Shot,,Mid-Range,Right Side Center(RC),16-24 ft.,22,98,200,1,0,20211121,0,PHX,DEN
Shot Chart Detail,22100340,90,1630688,Ish Wainright,1610612756,Phoenix Suns,1,5,0,Missed Shot,Driving Floating Jump Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,9,17,94,1,0,20211203,0,GSW,PHX
Shot Chart Detail,22100340,436,1630688,Ish Wainright,1610612756,Phoenix Suns,3,5,54,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,27,211,183,1,0,20211203,0,GSW,PHX
Shot Chart Detail,22100360,136,1630688,Ish Wainright,1610612756,Phoenix Suns,1,0,45,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,26,-34,260,1,0,20211206,0,PHX,SAS
Shot Chart Detail,22100360,508,1630688,Ish Wainright,1610612756,Phoenix Suns,3,0,56,Missed Shot,Tip Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20211206,0,PHX,SAS
Shot Chart Detail,22100390,124,1630688,Ish Wainright,1610612756,Phoenix Suns,1,1,23,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,24,169,179,1,0,20211210,0,PHX,BOS
Shot Chart Detail,22100390,137,1630688,Ish Wainright,1610612756,Phoenix Suns,1,0,0,Missed Shot,Driving Floating Bank Jump Shot,,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-55,62,1,0,20211210,0,PHX,BOS
Shot Chart Detail,22100390,639,1630688,Ish Wainright,1610612756,Phoenix Suns,4,3,17,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,9,11,1,0,20211210,0,PHX,BOS
Shot Chart Detail,22100390,668,1630688,Ish Wainright,1610612756,Phoenix Suns,4,1,0,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-135,216,1,0,20211210,0,PHX,BOS
Shot Chart Detail,22100412,181,1630688,Ish Wainright,1610612756,Phoenix Suns,2,10,54,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-93,235,1,0,20211213,0,LAC,PHX
Shot Chart Detail,22100412,200,1630688,Ish Wainright,1610612756,Phoenix Suns,2,9,40,Missed Shot,Fadeaway Jump Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,13,-59,125,1,0,20211213,0,LAC,PHX
Shot Chart Detail,22100412,326,1630688,Ish Wainright,1610612756,Phoenix Suns,2,0,9,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,24,-105,222,1,0,20211213,0,LAC,PHX
Shot Chart Detail,22100412,459,1630688,Ish Wainright,1610612756,Phoenix Suns,3,3,42,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-98,236,1,0,20211213,0,LAC,PHX
Shot Chart Detail,22100412,510,1630688,Ish Wainright,1610612756,Phoenix Suns,3,0,11,Made Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,23,233,17,1,1,20211213,1,LAC,PHX
Shot Chart Detail,22100412,520,1630688,Ish Wainright,1610612756,Phoenix Suns,4,11,45,Made Shot,Tip Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211213,0,LAC,PHX
Shot Chart Detail,22100412,663,1630688,Ish Wainright,1610612756,Phoenix Suns,4,1,41,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-132,217,1,1,20211213,1,LAC,PHX
